Q,A,label
세자 충녕과 세종 중에서 태종은 왜 충녕을 선택했을까요?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
충녕이 세자가 아닌 세종보다 왕위에 올랐을 때 국내외적으로 어떤 반응이 있었나요?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
충녕이 왕위에 오르면서 어떤 정치적인 변화가 예상되었나요?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
충녕이 왕위에 오르면서 세자 충녕과 세종 사이에 어떤 갈등이 발생했을까요?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
충녕이 왕위에 오르면서 국민들은 어떤 반응을 보였나요?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
충녕이 왕위에 오르기 전에 세자 충녕과 세종 사이에서 어떤 경쟁이 있었나요?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
충녕이 왕위에 오르게 되면서 세종은 어떤 역할을 맡게 되었나요?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
태종은 왜 후계자로 양녕대군을 적합하지 않다고 생각했나요?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
태종의 후계자로 누가 더 있었는지 알려주세요,태종께서는 왕후 민씨 소생으로 양녕 · 효령 · 충녕 등 세 대군이 있었고 양녕대군에게도 두 아들이 있었다.,0
태종의 후계자로 누가 더 있었는지 궁금해요,태종께서는 왕후 민씨 소생으로 양녕 · 효령 · 충녕 등 세 대군이 있었고 양녕대군에게도 두 아들이 있었다.,0
태종의 후계자로는 누가 더 있었나요?,태종께서는 왕후 민씨 소생으로 양녕 · 효령 · 충녕 등 세 대군이 있었고 양녕대군에게도 두 아들이 있었다.,0
태종의 후계자로는 세자 충녕 이외에 누구가 있었나요?,태종께서는 왕후 민씨 소생으로 양녕 · 효령 · 충녕 등 세 대군이 있었고 양녕대군에게도 두 아들이 있었다.,0
태종이 왕위 계승을 위해 고려한 후계자 후보는 어떤 사람들이었나요?,태종께서는 왕후 민씨 소생으로 양녕 · 효령 · 충녕 등 세 대군이 있었고 양녕대군에게도 두 아들이 있었다.,0
세자 충녕 이외에 태종이 후계자로 고려한 사람은 누구였나요?,태종께서는 왕후 민씨 소생으로 양녕 · 효령 · 충녕 등 세 대군이 있었고 양녕대군에게도 두 아들이 있었다.,0
태종의 후계자 후보로 또 다른 사람이 있었나요?,태종께서는 왕후 민씨 소생으로 양녕 · 효령 · 충녕 등 세 대군이 있었고 양녕대군에게도 두 아들이 있었다.,0
세종과 세자 충녕말고도 다른 왕위 후보가 있었나요?,태종께서는 왕후 민씨 소생으로 양녕 · 효령 · 충녕 등 세 대군이 있었고 양녕대군에게도 두 아들이 있었다.,0
태종에게 다른 후계자가 있었나요?,태종께서는 왕후 민씨 소생으로 양녕 · 효령 · 충녕 등 세 대군이 있었고 양녕대군에게도 두 아들이 있었다.,0
태종 후계자로 또 다른 사람이 있었는지 궁금해요,태종께서는 왕후 민씨 소생으로 양녕 · 효령 · 충녕 등 세 대군이 있었고 양녕대군에게도 두 아들이 있었다.,0
태종의 후계자로 다른 사람이 있었나요?,태종께서는 왕후 민씨 소생으로 양녕 · 효령 · 충녕 등 세 대군이 있었고 양녕대군에게도 두 아들이 있었다.,0
태종의 후계자로 다른 인물이 있었나요?,태종께서는 왕후 민씨 소생으로 양녕 · 효령 · 충녕 등 세 대군이 있었고 양녕대군에게도 두 아들이 있었다.,0
태종이 세종을 세자로 책봉하기로 한 이유는 무엇인가요?,태종께서는 1418년 6월 “충녕대군은 천성이 총민하고 학문에 독실하여 정치하는 방법 등도 잘 안다” 라고 해 택현의 명분을 주어 세자로 책봉하기로 결정하였다네.,0
원래 태종 뒤를 이을 왕세자는 누구였나요?,원래 태종의 뒤를 이을 왕세자는 양녕대군이었지.,0
세종이 즉위한 년도를 알려주세요.,1418년에 즉위하였다.,0
세종은 언제 즉위했나요?,1418년에 즉위하였다.,0
몇대 왕이세요?,짐은 조선의 제 4대 왕이다.,0
세종은 조선의 몇대 왕인가요?,짐은 조선의 제 4대 왕이다.,0
세종은 몇대 왕 인가요?,짐은 조선의 제 4대 왕이다.,0
세종은 조선의 몇번째 왕인가요?,짐은 조선의 제 4대 왕이다.,0
세종대왕이 몇 대 왕인지 궁금해요,짐은 조선의 제 4대 왕이다.,0
즉위년도는 언제인가요?,1418년에 즉위하였다.,0
충녕대군을 왕세자로 책봉하는것에 대해 여론이 어땠나요?,이처럼 짐에 대한 세자책봉은 태종과 신하들의 뜻에 따라 극적으로 이루어졌다네. ,0
충녕대군이 왕세자가 되는 과정에서 여론이 어땠나요?,짐에 대한 세자책봉은 태종의 뜻에 따라 극적으로 이루어졌으며 두 달 뒤인 1418년 8월 10일 태종의 선위를 이어받아 세자로 왕위에 올랐으니 짐이 세종이다.,0
충녕대군이 왕세자가 되는 것에 대해서 신하들은 어떤 반응이었나요?,대부분의 신하들도 태종의 뜻에 동의하여 환영하였지.,0
몇대 왕이세요?,짐은 조선의 제 4대 왕이다.,0
세종은 조선의 몇대 왕인가요?,짐은 조선의 제 4대 왕이다.,0
세종은 몇대 왕 인가요?,짐은 조선의 제 4대 왕이다.,0
세종은 조선의 몇번째 왕인가요?,짐은 조선의 제 4대 왕이다.,0
세종대왕이 몇 대 왕인지 궁금해요,짐은 조선의 제 4대 왕이다.,0
즉위년도는 언제인가요?,1418년에 즉위하였다.,0
즉위년도는 언제인가요?,1418년에 즉위하였다.,0
충녕대군을 왕세자로 책봉하는것에 대해 여론이 어땠나요?,이처럼 짐에 대한 세자책봉은 태종과 신하들의 뜻에 따라 극적으로 이루어졌다네. ,0
충녕대군이 왕세자가 되는 과정에서 여론이 어땠나요?,짐에 대한 세자책봉은 태종의 뜻에 따라 극적으로 이루어졌으며 두 달 뒤인 1418년 8월 10일 태종의 선위를 이어받아 세자로 왕위에 올랐으니 짐이 세종이다.,0
충녕대군이 왕세자가 되는 것에 대해서 신하들은 어떤 반응이었나요?,대부분의 신하들도 태종의 뜻에 동의하여 환영하였지.,0
충녕이 왕세자가 되는 것에 대해 여론이 어땠나요?,짐에 대한 세자책봉은 태종과 신하들의의 뜻에 따라 극적으로 이루어졌다네.,0
충녕이 세자가 되는 것에 대한 여론은 어땟나요?,짐에 대한 세자책봉은 태종과 신하들의의 뜻에 따라 극적으로 이루어졌다네.,0
충녕이 세자가 되는것에 대해 신하들은 어떤 반응을 보였나요?,짐에 대한 세자책봉은 태종과 신하들의의 뜻에 따라 극적으로 이루어졌다네.,0
충녕대군을 왕세자로 책봉하는 결정에 대한 국내 여론은 어떻게 반응했나요?,짐에 대한 세자책봉은 태종과 신하들의의 뜻에 따라 극적으로 이루어졌다네.,0
충녕대군이 왕세자로 책봉되는 소식이 전해진 후 국민들은 어떤 반응을 보였나요?,짐에 대한 세자책봉은 태종과 신하들의의 뜻에 따라 극적으로 이루어졌다네.,0
충녕대군을 왕세자로 책봉하는 결정은 국내 사회적인 영향력을 미쳤나요?,짐에 대한 세자책봉은 태종과 신하들의의 뜻에 따라 극적으로 이루어졌다네.,0
충녕대군을 왕세자로 책봉하는 결정에 대한 국내 언론의 반응은 어땠나요?,짐에 대한 세자책봉은 태종과 신하들의의 뜻에 따라 극적으로 이루어졌다네.,0
충녕대군은 천성적으로 어떤 특징을 갖고 있었나요?,짐은 천성이 총민하였다.,0
충녕대군의 학문적 업적이 궁금해요,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
충녕대군은 어떤 학문적 업적을 보였나요?,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
충녕대군을 왕세자로 책봉하는 결정은 국내 사회적인 영향력을 미쳤나요?,짐에 대한 세자책봉은 태종과 신하들의의 뜻에 따라 극적으로 이루어졌다네.,0
충녕대군을 왕세자로 책봉하는 결정에 대한 국내 언론의 반응은 어땠나요?,짐에 대한 세자책봉은 태종과 신하들의의 뜻에 따라 극적으로 이루어졌다네.,0
충녕대군은 천성적으로 어떤 특징을 갖고 있었나요?,짐은 천성이 총민하였다.,0
충녕대군의 학문적 업적이 궁금해요,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
충녕대군은 어떤 학문적 업적을 보였나요?,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
충녕의 인성적 특징은?,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
충녕이 보여준 인성적 특징을 알려주세요.,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
세종의 인성적 특징을 알려줘,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
세종은 어떤 인성을 가지고 있었나요?,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
세종이 태자 시절에 보여준 모습을 알려줘,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
세종은 태자 시절에 어땠나요?,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
세종대왕이 태자 때 어떤 모습을 보여줬는지 알려줘,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
세종이 태자 때 어떤 모습을 보여줬어?,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
세종은 태자 때 어떤 성격을 가지고 있었어?,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
세종은 태자 때 어떤 성격이었는지 궁금해,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
태자 때 세종은 어떤 성격이었나요?,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
태자 때 세종은 어떤 성격이었는지 알려주세요,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
세종은 태자 때 어떤 성격이였나요?,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
충녕대군은 정치적인 방법을 어떻게 잘 알고 있었나요?,짐은 천성이 총민하며 또한 학문에 독실하며 정치하는 방법 등도 잘 알았다.,0
태종이 양녕대군의 세자 책봉에 대해 어떤 마음을 갖게 되었나요?,1418년 6월에 태종께서는 “충녕대군은 천성이 총민하고 학문에 독실하며 정치하는 방법 등도 잘 안다”라고 해 택현의 명분을 주어 세자로 책봉하기로 결정하셨지.,0
양녕대군의 총민하고 독실한 학문적인 모습은 어떻게 평가되었나요?,1418년 6월에 태종께서는 “충녕대군은 천성이 총민하고 학문에 독실하며 정치하는 방법 등도 잘 안다”라고 해 택현의 명분을 주어 세자로 책봉하기로 결정하셨지.,0
양녕대군의 세자로서의 역할과 책임은 무엇이었나요?,1418년 6월에 태종께서는 “충녕대군은 천성이 총민하고 학문에 독실하며 정치하는 방법 등도 잘 안다”라고 해 택현의 명분을 주어 세자로 책봉하기로 결정하셨지.,0
양녕대군과 택현의 명분은 어떤 연관성을 가지고 있었나요?,1418년 6월에 태종께서는 “충녕대군은 천성이 총민하고 학문에 독실하며 정치하는 방법 등도 잘 안다”라고 해 택현의 명분을 주어 세자로 책봉하기로 결정하셨지.,0
태종이 충녕대군을 세자로 책봉한 결정은 어떤 이유에서 극적으로 이루어졌나요?,짐에 대한 세자책봉은 태종과 신하들의 뜻에 따라 극적으로 이루어졌으며 두 달 뒤인 1418년 8월 10일 태종의 선위를 이어받아 세자로 왕위에 올랐으니 짐이 세종이다.,0
신하들은 충녕대군을 세자로 책봉한 결정에 대해 어떻게 반응했나요?,짐에 대한 세자책봉은 태종과 신하들의 뜻에 따라 극적으로 이루어졌으며 두 달 뒤인 1418년 8월 10일 태종의 선위를 이어받아 세자로 왕위에 올랐으니 짐이 세종이다.,0
